id,name,x,y
1,Khartoum,32.5599,15.5007
2,Omdurman,32.4799,15.6445
3,Wad Madani,33.5199,14.4012
4,Kosti,32.6635,13.1629
5,Port Sudan,37.2164,19.6158
6,El Obeid,30.2167,13.1833
